LAD19CD,ethnicity,population,proportion
E07000040,White,130347.0,0.984070302060291
E07000041,Asian/Asian British,4595.0,0.03901573365712
E07000041,Black/African/Caribbean/Black British,667.0,0.00566343729038065
E07000041,Mixed/multiple ethnic group,1938.0,0.0164553845108811
E07000041,Other ethnic group,983.0,0.00834656500216518
E07000041,White,109590.0,0.930518879539453
E07000042,Asian/Asian British,428.0,0.0055048231511254
E07000042,Black/African/Caribbean/Black British,94.0,0.00120900321543408
E07000042,Mixed/multiple ethnic group,484.0,0.00622508038585209
E07000042,Other ethnic group,48.0,0.000617363344051447
E07000042,White,76696.0,0.986443729903537
E07000043,Asian/Asian British,835.0,0.00891455902292163
E07000043,Black/African/Caribbean/Black British,158.0,0.0016868267372714
E07000043,Mixed/multiple ethnic group,785.0,0.00838075309340536
E07000043,Other ethnic group,147.0,0.00156938943277782
E07000043,White,91742.0,0.979448471713624
E07000044,Asian/Asian British,458.0,0.00550878037045947
E07000044,Black/African/Caribbean/Black British,121.0,0.00145537647341833
E07000044,Mixed/multiple ethnic group,653.0,0.00785422179456339
E07000044,Other ethnic group,124.0,0.00149146018763531
E07000044,White,81784.0,0.983690161173923
E07000045,Asian/Asian British,893.0,0.00718885847689583
E07000045,Black/African/Caribbean/Black British,117.0,0.000941877314442119
E07000045,Mixed/multiple ethnic group,925.0,0.00744646594751248
E07000045,Other ethnic group,122.0,0.00098212848172597
E07000045,White,122163.0,0.983440669779424
E07000046,Asian/Asian British,271.0,0.00424505396387788
E07000046,Black/African/Caribbean/Black British,51.0,0.000798884694309121
E07000046,Mixed/multiple ethnic group,429.0,0.00672003007565908
E07000046,Other ethnic group,67.0,0.00104951518664139
E07000046,White,63021.0,0.987186516079513
E07000047,Asian/Asian British,300.0,0.00560192706290964
E07000047,Black/African/Caribbean/Black British,59.0,0.00110171232237223
E07000047,Mixed/multiple ethnic group,402.0,0.00750658226429892
E07000047,Other ethnic group,62.0,0.00115773159300133
E07000047,White,52730.0,0.984632046757418
E07000061,Asian/Asian British,2795.0,0.0281153180702531
E07000061,Black/African/Caribbean/Black British,783.0,0.00787631271878646
E07000061,Mixed/multiple ethnic group,1791.0,0.0180159336900978
E07000061,Other ethnic group,535.0,0.00538164406711463
E07000061,White,93508.0,0.940610791453748
E07000062,Asian/Asian British,2126.0,0.0235557426817648
E07000062,Black/African/Caribbean/Black British,1065.0,0.0118000310235557
E07000062,Mixed/multiple ethnic group,1948.0,0.0215835309238372
E07000062,Other ethnic group,484.0,0.00536264320694928
E07000062,White,84631.0,0.937698052163893
E07000063,Asian/Asian British,1400.0,0.0143586798219524
E07000063,Black/African/Caribbean/Black British,416.0,0.00426657914709442
E07000063,Mixed/multiple ethnic group,1275.0,0.0130766548378495
E07000063,Other ethnic group,252.0,0.00258456236795143
E07000063,White,94159.0,0.965713523825152
E07000064,Asian/Asian British,1103.0,0.0121760056519627
E07000064,Black/African/Caribbean/Black British,305.0,0.00336689186205678
